證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"8039","台虹","93825","3669916","39.50","39.50","38.90","39.20","-0.1000","118"
"8046","南電","23000596","4751427476","200.00","211.50","199.50","205.00","4.0000","17940"
"8070","長華*","271870","8346759","30.55","30.90","30.55","30.60","-0.1000","275"
"8072","陞泰","236387","5504741","22.70","23.95","22.65","23.40","0.7500","214"
"8081","致新","398551","50652010","125.50","129.00","125.00","126.00","0.5000","425"
"8101","華冠","51077","302814","5.97","5.97","5.93","5.94","-0.0600","34"
"8103","瀚荃","109123","3257938","29.90","30.20","29.65","29.70","-0.3500","77"
"8104","錸寶","152578","4998979","32.65","33.05","32.30","32.45","-0.2000","135"
"8105","凌巨","1443754","16702603","11.45","11.75","11.45","11.50","0.1000","572"
"8110","華東","406177","4519844","11.10","11.25","11.00","11.05","-0.1500","243"
"8112","至上","573700","19211122","33.50","33.70","33.30","33.40","-0.2000","528"
"8112A","至上甲特","1531","63701","41.70","41.70","41.70","41.70","0.0000","10"
"8114","振樺電","1043840","121990859","117.50","119.50","115.00","115.00","-2.5000","770"
"8131","福懋科","270000","9761550","35.95","36.30","35.95","36.15","0.1500","194"
"8150","南茂","12906849","415988219","31.00","32.85","30.70","32.30","1.3000","8776"
"8163","達方","276345","10564493","38.10","38.45","38.00","38.25","0.2500","267"
"8201","無敵","128002","1384021","10.90","10.95","10.65","10.75","0.0500","69"
"8210","勤誠","222031","14233244","64.80","65.50","63.20","63.50","-1.3000","193"
"8213","志超","507801","16851124","32.90","33.50","32.85","33.40","0.2000","376"
"8215","明基材","2144970","61135531","28.50","28.85","28.20","28.35","0.1000","1404"
"8222","寶一","1411535","26607918","19.05","19.40","18.50","18.50","-0.3000","936"
"8249","菱光","30154","642204","21.20","21.40","21.15","21.25","0.1500","52"
"8261","富鼎","2893855","291573509","102.00","103.00","98.70","98.70","-2.8000","2171"
"8271","宇瞻","1120898","46270748","41.00","42.20","40.30","40.50","0.0000","892"
"8341","日友","66757","9462024","142.00","143.50","140.00","140.50","-1.5000","334"
"8367","建新國際","31470","1020466","32.40","32.75","32.30","32.35","0.0500","27"
"8374","羅昇","28000","749850","27.30","27.30","25.95","26.50","-0.1000","18"
"8404","百和興業-KY","154849","4230548","26.90","28.20","26.90","27.20","-0.4500","126"
"8411","福貞-KY","94945","1209940","12.70","12.80","12.70","12.80","0.0500","173"
"8422","可寧衛","251926","42733408","170.00","171.00","168.50","171.00","2.0000","365"
"8429","金麗-KY","72900","696056","9.53","9.60","9.51","9.53","-0.0500","106"
"8438","昶昕","127482","3116046","23.15","25.40","23.15","24.10","1.0000","103"
"8442","威宏-KY","454205","36392528","80.90","80.90","79.10","80.40","0.6000","306"
"8443","阿瘦","43898","480424","11.00","11.00","10.90","10.95","0.0000","92"
"8454","富邦媒","413655","212072598","518.00","528.00","502.00","502.00","-13.0000","1714"
"8462","柏文","44005","4903290","110.00","115.00","110.00","111.00","2.0000","82"
"8463","潤泰材","44357","825748","18.50","18.80","18.50","18.55","0.0000","44"
"8464","億豐","472303","119611381","244.00","256.50","244.00","253.00","5.0000","514"
"8466","美吉吉-KY","38999","1586709","40.10","41.30","40.10","41.10","0.6500","33"
"8467","波力-KY","96070","5060875","51.90","53.50","51.90","52.80","1.1000","77"
"8473","山林水","16172","467128","29.10","29.10","28.80","28.90","-0.4000","21"
"8478","東哥遊艇","3455318","897056013","259.50","263.50","256.50","260.00","0.5000","3398"
"8480","泰昇-KY","10090","850578","84.40","84.40","84.20","84.20","-0.1000","12"
"8481","政伸","9025","497955","54.60","55.60","54.60","55.30","-0.5000","10"
"8482","商億-KY","10000","691400","69.00","69.20","69.00","69.20","0.5000","10"
"8488","吉源-KY","19000","303600","16.00","16.00","15.85","15.85","-0.1000","6"
"8499","鼎炫-KY","8012","817727","102.00","102.50","102.00","102.00","0.0000","9"
"8926","台汽電","593350","17654739","29.95","29.95","29.50","29.50","-0.4500","545"
"8940","新天地","159656","2512447","15.60","16.15","15.35","15.40","-0.2000","140"
"8996","高力","11230323","1361262697","123.00","123.50","118.50","118.50","-3.5000","6444"
"9103","美德醫療-DR","479140","2922753","6.10","6.10","6.10","6.10","0.5500","212"
"910322","康師傅-DR","","","","","","","0.0000",""
"9105","泰金寶-DR","4816386","18475300","3.86","3.90","3.81","3.81","-0.0500","8035"
"910861","神州-DR","54000","366310","6.77","6.82","6.71","6.71","0.0500","11"
"9110","越南控-DR","54000","165530","3.10","3.10","3.05","3.05","0.0400","37"
"911608","明輝-DR","180000","458790","2.56","2.58","2.53","2.56","0.0000","52"
"911622","泰聚亨-DR","2000","9660","4.83","4.83","4.83","4.83","0.0000","2"
"911868","同方友友-DR","222000","261330","1.18","1.18","1.16","1.18","0.0100","45"
"912000","晨訊科-DR","1905105","4547522","2.33","2.45","2.32","2.35","0.0800","335"
"9136","巨騰-DR","57000","366650","6.44","6.47","6.41","6.45","0.0100","35"
"9802","鈺齊-KY","5229244","845414571","158.50","165.00","157.50","160.50","1.0000","3238"
"9902","台火","192353","1972217","10.25","10.30","10.20","10.25","0.0500","27"
"9904","寶成","5319143","148856432","28.05","28.30","27.80","27.95","-0.1000","1823"
"9905","大華","16429","401156","24.35","24.50","24.35","24.45","0.1000","16"
"9906","欣巴巴","10000","455800","45.90","45.90","44.55","44.55","-1.5500","8"
"9907","統一實","3773673","66288925","17.35","17.75","17.35","17.55","0.2000","1523"
"9908","大台北","100054","2995654","30.10","30.10","29.80","29.90","-0.2000","129"
"9910","豐泰","1049600","170310196","161.00","165.00","161.00","161.00","0.5000","802"
"9911","櫻花","109292","6829118","62.50","62.80","62.10","62.20","-0.4000","162"
"9912","偉聯","73966","679411","9.25","9.26","9.11","9.11","0.0300","66"
"9914","美利達","457260","82551535","180.00","183.50","179.00","180.00","-1.5000","403"
"9917","中保科","299225","28593027","96.00","97.00","95.00","95.00","-1.0000","453"
"9918","欣天然","17328","724088","41.90","41.90","41.65","41.65","-0.6000","96"
"9919","康那香","4019492","60924855","15.20","15.30","14.95","15.25","0.1000","667"
"9921","巨大","633093","134719394","214.00","216.00","210.50","210.50","-6.5000","979"
"9924","福興","122340","4946907","40.25","40.60","40.10","40.55","0.3500","117"
"9925","新保","148649","5743185","38.60","38.75","38.50","38.65","0.0500","135"
"9926","新海","5132","261017","51.00","51.00","50.30","50.30","-0.6000","14"
"9927","泰銘","53690","1849987","34.30","34.65","34.25","34.25","-0.2000","86"
"9928","中視","327073","5846298","17.70","18.70","17.50","17.50","-1.0500","235"
"9929","秋雨","1457143","13388697","8.86","9.59","8.62","9.57","0.8500","381"
"9930","中聯資源","78242","3493383","44.70","44.70","44.60","44.70","0.1500","63"
"9931","欣高","","","","","","","0.0000",""
"9933","中鼎","2851098","130842443","44.90","46.20","44.90","46.20","1.0000","1971"
"9934","成霖","559943","6789988","12.00","12.30","11.90","12.30","0.2000","142"
"9935","慶豐富","83001","1390268","16.80","17.00","16.65","16.75","0.0000","57"
"9937","全國","53375","2656449","49.60","49.95","49.60","49.80","0.4000","48"
"9938","百和","858213","44799127","51.90","52.70","51.50","51.80","0.1000","645"
"9939","宏全","1357264","107431481","79.50","80.10","78.60","79.10","-0.4000","1003"
"9940","信義","204621","5855595","28.70","28.85","28.50","28.50","-0.3000","178"
"9941","裕融","697734","93122152","134.00","135.50","131.50","132.50","-1.5000","1213"
"9941A","裕融甲特","17005","833698","49.00","49.10","49.00","49.00","-0.0500","7"
"9942","茂順","2753459","302417912","108.00","113.00","106.50","109.00","1.5000","1913"
"9943","好樂迪","25598","1485977","57.90","58.20","57.90","58.10","0.2000","51"
"9944","新麗","68485","1396345","20.45","20.45","20.10","20.40","0.0000","48"
"9945","潤泰新","7470813","443302989","59.20","60.30","58.60","58.80","-0.2000","6536"
"9946","三發地產","32315","376979","11.75","11.80","11.60","11.60","-0.1500","28"
"9955","佳龍","1147642","20154965","16.90","17.90","16.90","17.60","0.7000","778"
"9958","世紀鋼","5773973","406331053","66.70","72.30","66.60","70.40","4.1000","4218"
